"ObservationDate","Country_Region","Province_State","Confirmed","Deaths","Recovered","Active"
2020-09-16,"Azerbaijan",NA,38658,569,36149,1940
2020-09-16,"Cyprus",NA,1548,22,1282,244
2020-09-16,"Georgia",NA,2758,19,1412,1327
2020-09-16,"Kazakhstan",NA,107056,1671,101455,3930
2020-09-16,"Kosovo",NA,12683,488,8788,3407
2020-09-16,"Turkey",NA,296391,7249,262602,26540
2020-09-17,"Armenia",NA,46671,925,42231,3515
2020-09-17,"Azerbaijan",NA,38777,571,36289,1917
2020-09-17,"Cyprus",NA,1558,22,1282,254
2020-09-17,"Georgia",NA,2937,19,1422,1496
2020-09-17,"Kazakhstan",NA,107134,1671,101610,3853
2020-09-17,"Kosovo",NA,12683,488,8788,3407
2020-09-17,"Turkey",NA,298039,7315,263745,26979
2020-09-18,"Armenia",NA,46910,926,42369,3615
2020-09-18,"Azerbaijan",NA,38894,572,36424,1898
2020-09-18,"Cyprus",NA,1565,22,1282,261
2020-09-18,"Georgia",NA,3119,19,1435,1665
2020-09-18,"Kazakhstan",NA,107199,1671,101822,3706
2020-09-18,"Kosovo",NA,12683,488,8788,3407
2020-09-18,"Turkey",NA,299810,7377,264805,27628
2020-09-19,"Armenia",NA,47154,928,42551,3675
2020-09-19,"Azerbaijan",NA,39042,574,36601,1867
2020-09-19,"Cyprus",NA,1590,22,1282,286
2020-09-19,"Georgia",NA,3306,19,1481,1806
2020-09-19,"Kazakhstan",NA,107262,1671,101877,3714
2020-09-19,"Kosovo",NA,12683,488,8788,3407
2020-09-19,"Turkey",NA,301348,7445,266117,27786
2020-09-20,"Armenia",NA,47431,930,42608,3893
2020-09-20,"Azerbaijan",NA,39188,575,36755,1858
2020-09-20,"Cyprus",NA,1600,22,1282,296
2020-09-20,"Georgia",NA,3502,19,1494,1989
2020-09-20,"Kazakhstan",NA,107307,1671,101941,3695
2020-09-20,"Kosovo",NA,12683,488,8788,3407
2020-09-20,"Turkey",NA,302867,7506,267233,28128
2020-09-21,"Armenia",NA,47552,936,42637,3979
2020-09-21,"Azerbaijan",NA,39280,576,36836,1868
2020-09-21,"Cyprus",NA,1603,22,1369,212
2020-09-21,"Georgia",NA,3695,20,1534,2141
2020-09-21,"Kazakhstan",NA,107374,1671,102064,3639
2020-09-21,"Kosovo",NA,12683,488,8788,3407
2020-09-21,"Turkey",NA,304610,7574,268435,28601
2020-09-22,"Armenia",NA,47667,938,42676,4053
2020-09-22,"Azerbaijan",NA,39378,578,36949,1851
2020-09-22,"Cyprus",NA,1618,22,1369,227
2020-09-22,"Georgia",NA,3913,23,1574,2316
2020-09-22,"Kazakhstan",NA,107450,1699,102064,3687
2020-09-22,"Kosovo",NA,12683,488,8788,3407
2020-09-22,"Turkey",NA,306302,7639,269696,28967
2020-09-23,"Armenia",NA,47877,942,43026,3909
2020-09-23,"Azerbaijan",NA,39524,580,37122,1822
2020-09-23,"Cyprus",NA,1654,22,1369,263
2020-09-23,"Georgia",NA,4140,25,1643,2472
2020-09-23,"Kazakhstan",NA,107529,1699,102323,3507
2020-09-23,"Kosovo",NA,12683,488,8788,3407
2020-09-23,"Turkey",NA,308069,7711,270723,29635
2020-09-24,"Armenia",NA,48251,945,43266,4040
2020-09-24,"Azerbaijan",NA,39686,581,37255,1850
2020-09-24,"Cyprus",NA,1663,22,1369,272
2020-09-24,"Georgia",NA,4399,26,1705,2668
2020-09-24,"Kazakhstan",NA,107590,1699,102360,3531
2020-09-24,"Kosovo",NA,12683,488,8788,3407
2020-09-24,"Turkey",NA,309790,7785,271964,30041
2020-09-25,"Armenia",NA,48643,947,43401,4295
2020-09-25,"Azerbaijan",NA,39787,583,37392,1812
2020-09-25,"Cyprus",NA,1671,22,1369,280
